"old_url","new_url","status","note"
"/about-reproductive-medicine-of-michigan.html","/about/","301","Redirect legacy URL to clean about RMA of Michigan page"
"/about-physicians-reproductive-medicine-of-michigan.html","/our-doctors/","301","Redirect legacy URL to clean Michigan fertility doctors page"
"/doctors/","/our-doctors/","301","Redirect legacy URL to clean Michigan fertility doctors page"
"/dr-brad-miller.html","/doctors/brad-miller/","301","Redirect legacy URL to clean Dr. Brad Miller fertility doctor page"
"/dr-lynda-wolf.html","/doctors/lynda-wolf/","301","Redirect legacy URL to clean Dr. Lynda Wolf fertility page"
"/dr-jenny-george.html","/doctors/jenny-george/","301","Redirect legacy URL to clean Dr. Jenny George fertility doctor page"
"/dr-annette-lee.html","/doctors/annette-lee/","301","Redirect legacy URL to clean Dr. Annette Lee fertility page"
"/doctors/dr-molly-moravek/","/doctors/molly-moravek/","301","Redirect legacy URL to clean Dr. Molly Moravek fertility page"
"/treatments-and-procedures.html","/treatments/","301","Redirect legacy URL to clean fertility treatments Troy MI page"
"/treatments-female-ivf-troy-michigan.html","/ivf/","301","Redirect legacy URL to clean IVF Troy MI page"
"/treatments-female-iui-troy-michigan.html","/iui/","301","Redirect legacy URL to clean IUI treatment Troy page"
"/treatments-female-fertility-preservation-egg-freezing.html","/egg-freezing/","301","Redirect legacy URL to clean egg freezing Michigan page"
"/treatments-female-pgt-a.html","/pgt-a/","301","Redirect legacy URL to clean PGT Michigan page"
"/preimplantation-genetic-testing/","/pgt-a/","301","Redirect legacy URL to clean PGT Michigan page"
"/treatments-female-ovulation-induction-troy-michigan.html","/ovulation-induction/","301","Redirect legacy URL to clean ovulation induction Troy MI page"
"/treatments-female-endometrial-receptivity-analysis-era.html","/era-testing/","301","Redirect legacy URL to clean ERA testing Michigan page"
"/treatments-female-surgery-troy-michigan.html","/fertility-surgery/","301","Redirect legacy URL to clean fertility surgery Troy MI page"
"/treatments-female-gestational-carrier-troy-michigan.html","/gestational-carrier/","301","Redirect legacy URL to clean gestational carrier Michigan page"
"/lgbtq-fertilty-clinic-michigan-ivf-for-lesbian-gay-couples.html","/lgbtq-fertility/","301","Redirect legacy URL to clean LGBTQ fertility Michigan page"
"/lgbtq-fertilty-clinic-michigan-IVF-for-lesbian-gay-couples.html","/lgbtq-fertility/","301","Redirect legacy URL to clean LGBTQ fertility Michigan page"
"/treatment-options/recipient-process/","/donor-egg-ivf/","301","Redirect legacy URL to clean donor egg IVF Troy MI page"
"/treatments-female-interested-donor.html","/egg-donation/","301","Redirect legacy URL to clean egg donation Michigan page"
"/how-much-money-can-you-earn-as-an-egg-donor/","/egg-donor-compensation/","301","Redirect legacy URL to clean egg donor compensation Michigan page"
"/fertility-clinic-near-me/","/troy-fertility-clinic/","301","Redirect legacy URL to clean fertility clinic Troy MI page"
"/appointments-reproductive-medicine-troy-michigan.html","/appointments/","301","Redirect legacy URL to clean schedule fertility consultation Troy MI page"
"/appointment-form-reproductive-medicine-troy-michigan.html","/appointments/","301","Redirect legacy URL to clean schedule fertility consultation Troy MI page"
"/patient-resources.html","/resources/","301","Redirect legacy URL to clean RMA patient resources page"
"/patient-resources-reproductive-medicine-michigan.html","/resources/","301","Redirect legacy URL to clean RMA patient resources page"
"/patient-resources/patient-portal/","/patient-portal/","301","Redirect legacy URL to clean RMA patient portal page"
"/patient-resources-forms-reproductive-medicine-michigan.html","/forms/","301","Redirect legacy URL to clean RMA patient forms page"
"/patient-education-videos-rma-troy-michigan.html","/patient-education-videos/","301","Redirect legacy URL to clean fertility education videos page"
"/patient-resources-out-of-town-patients.html","/out-of-town-patients/","301","Redirect legacy URL to clean IVF Ohio page"
"/ivf-ohio/","/out-of-town-patients/","301","Redirect legacy URL to clean IVF Ohio page"
"/patient-resources-insurance-financing-rma-michigan.html","/insurance/","301","Redirect legacy URL to clean fertility insurance Michigan page"
"/financing.html","/financing/","301","Redirect legacy URL to clean fertility payment plans page"
"/grants.html","/financial-assistance/","301","Redirect legacy URL to clean IVF grants Michigan page"
"/grants.html","/grants/","301","Redirect legacy URL to clean IVF grants Michigan page"
"/billpay.html","/billpay/","301","Redirect legacy URL to clean RMA bill pay page"
"/reproductive-medicine-blog/","/blog/","301","Redirect legacy URL to clean fertility blog Michigan page"
"/enhance-your-fertility-through-nutrition-a-guide-to-conception-success/","/fertility-diet-and-nutrition/","301","Redirect legacy URL to clean fertility diet and nutrition page"
"/fertility-treatment-options-for-a-single-parent-by-choice/","/single-parent-fertility/","301","Redirect legacy URL to clean single parent fertility options page"
"/reproductive-medicine-of-michigan-careers/","/careers/","301","Redirect legacy URL to clean assisted reproductive technology jobs page"
"/our-team/advanced-practice-providers/","/advanced-practice-providers/","301","Redirect legacy URL to clean RMA advanced practice providers page"
"/about-staff-reproductive-medicine-of-michigan.html","/clinical-team/","301","Redirect legacy URL to clean RMA clinical team page"
"/about-lab-team-reproductive-medicine-of-michigan.html","/lab-team/","301","Redirect legacy URL to clean RMA lab team page"
"/about-patient-services-team-rma-troy-michigan.html","/patient-services/","301","Redirect legacy URL to clean RMA patient services page"
"/about-business-office-team.html","/business-office/","301","Redirect legacy URL to clean RMA business office page"
